idx,leader_before,leader_after,fp_node,live,time_to_leader_s,fp_delivered,advice_seen_on
1,5,2,5,1,4,1,n1:{"blacklist":[3;5];"seq":1;"fail_open":false}
2,6,5,-,1,4,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
3,5,6,-,1,2,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
4,-,-,-,-,-,-,noleader
5,5,4,-,1,4,0,n1:{"blacklist":[3];"seq":1;"fail_open":false}
6,1,6,1,1,4,1,n2:{"blacklist":[1;3];"seq":1;"fail_open":false}
7,-,-,-,-,-,-,noleader
8,7,1,6,1,4,1,n1:{"blacklist":[3;6];"seq":1;"fail_open":false}
9,1,4,6,1,4,1,n2:{"blacklist":[3;6];"seq":1;"fail_open":false}
10,4,7,6,1,4,1,n1:{"blacklist":[3;6];"seq":1;"fail_open":false}
